"txID","geneID","gene","transcript","log2fc","GENENAME","HGNC","Length","Class","GC"
"ENST00000602307.5","ENSG00000076201.16",4.53304060954451e-13,0,7.61590199270576,"ENSG00000076201.16","PTPN23",5119,"nonsense_mediated_decay",0.6214
"ENST00000313104.9","ENSG00000089157.16",0,1.7827868311285e-15,0.33405102918345,"ENSG00000089157.16","RPLP0",912,"protein_coding",0.5307
"ENST00000392514.9","ENSG00000089157.16",0,1,-0.0715342970397999,"ENSG00000089157.16","RPLP0",1105,"protein_coding",0.5303
"ENST00000551150.5","ENSG00000089157.16",0,1,-0.283712537053042,"ENSG00000089157.16","RPLP0",1344,"protein_coding",0.5573
"ENST00000553300.6","ENSG00000092199.19",0.024339264269239,0.00832347856118451,0.0544409467679108,"ENSG00000092199.19","HNRNPC",3165,"protein_coding",0.4019
"ENST00000554455.5","ENSG00000092199.19",0.024339264269239,0.484665581311298,0.609990017894539,"ENSG00000092199.19","HNRNPC",1784,"protein_coding",0.4395
"ENST00000557201.5","ENSG00000092199.19",0.024339264269239,1,0.600139067754775,"ENSG00000092199.19","HNRNPC",1371,"protein_coding",0.4661
"ENST00000547649.5","ENSG00000092841.19",0.0292942058648019,0,0.36785699162934,"ENSG00000092841.19","MYL6",655,"protein_coding",0.5206
"ENST00000550697.6","ENSG00000092841.19",0.0292942058648019,0,-0.196238436284222,"ENSG00000092841.19","MYL6",708,"protein_coding",0.5339
"ENST00000371145.8","ENSG00000101972.20",0.0244394586816909,1,-0.937323928149573,"ENSG00000101972.20","STAG2",6179,"protein_coding",0.3658
"ENST00000371157.7","ENSG00000101972.20",0.0244394586816909,0.0170194500203687,-1.72390029293597,"ENSG00000101972.20","STAG2",5991,"protein_coding",0.364
"ENST00000455404.6","ENSG00000101972.20",0.0244394586816909,1,-0.227854738732131,"ENSG00000101972.20","STAG2",4344,"protein_coding",0.4006
"ENST00000693144.1","ENSG00000101972.20",0.0244394586816909,0.0648810110114903,0.702658137957298,"ENSG00000101972.20","STAG2",6885,"retained_intron",0.3618
"ENST00000519811.6","ENSG00000105339.11",0.00155344823927008,1,1.03391361138307,"ENSG00000105339.11","DENND3",5527,"protein_coding",0.5596
"ENST00000521835.1","ENSG00000105339.11",0.00155344823927008,0.000357340680491753,8.15497816513664,"ENSG00000105339.11","DENND3",3157,"retained_intron",0.5264
"ENST00000523308.5","ENSG00000105339.11",0.00155344823927008,1,-0.0346289216118265,"ENSG00000105339.11","DENND3",2959,"protein_coding",0.5384
"ENST00000222553.8","ENSG00000105835.13",8.67885258697989e-05,0,-2.94835626477076,"ENSG00000105835.13","NAMPT",4360,"protein_coding",0.344
"ENST00000680584.1","ENSG00000105835.13",8.67885258697989e-05,0,11.1214015909985,"ENSG00000105835.13","NAMPT",4457,"protein_coding",0.3552
"ENST00000328090.9","ENSG00000108021.22",0.0244793158180617,0.0173516629245743,2.20183549270582,"ENSG00000108021.22","TASOR2",8626,"protein_coding",0.4279
"ENST00000695737.1","ENSG00000108021.22",0.0244793158180617,0.0173516629245743,2.20183549270582,"ENSG00000108021.22","TASOR2",8699,"protein_coding",0.4287
"ENST00000699050.1","ENSG00000108021.22",0.0244793158180617,1,0.21607105287285,"ENSG00000108021.22","TASOR2",8976,"protein_coding",0.4274
"ENST00000699051.1","ENSG00000108021.22",0.0244793158180617,0.406771746692143,-1.79980649366183,"ENSG00000108021.22","TASOR2",8917,"protein_coding",0.4174
"ENST00000263083.12","ENSG00000108963.19",0.0344100638707685,1,-0.27738605441293,"ENSG00000108963.19","DPH1",2646,"protein_coding",0.5771
"ENST00000263084.7","ENSG00000108963.19",0.0344100638707685,0.0273882582574706,0.955107946208766,"ENSG00000108963.19","DPH1",1827,"nonsense_mediated_decay",0.5922
"ENST00000570477.6","ENSG00000108963.19",0.0344100638707685,1,-0.158819113171941,"ENSG00000108963.19","DPH1",2680,"protein_coding",0.5698
"ENST00000674200.2","ENSG00000108963.19",0.0344100638707685,1,-0.27738605441293,"ENSG00000108963.19","DPH1",2662,"protein_coding",0.5759
"ENST00000279146.8","ENSG00000110711.11",0.000104347105191054,0,-0.101614235150612,"ENSG00000110711.11","AIP",1236,"protein_coding",0.606
"ENST00000528641.7","ENSG00000110711.11",0.000104347105191054,0,1.78016757111099,"ENSG00000110711.11","AIP",1030,"protein_coding",0.601
"ENST00000350082.10","ENSG00000112144.16",4.39057361895883e-11,0,7.17936901017372,"ENSG00000112144.16","CILK1",6137,"protein_coding",0.4096
"ENST00000676107.1","ENSG00000112144.16",4.39057361895883e-11,0,-1.4469120987752,"ENSG00000112144.16","CILK1",6146,"protein_coding",0.411
"ENST00000357559.9","ENSG00000114416.19",5.22920879758843e-05,0.0495356901423603,-0.384019470928155,"ENSG00000114416.19","FXR1",8343,"protein_coding",0.3632
"ENST00000445140.6","ENSG00000114416.19",5.22920879758843e-05,1,0.197061527607867,"ENSG00000114416.19","FXR1",2651,"protein_coding",0.3965
"ENST00000698793.1","ENSG00000114416.19",5.22920879758843e-05,5.5267091598741e-06,2.03605336157739,"ENSG00000114416.19","FXR1",5294,"protein_coding",0.3742
"ENST00000592588.7","ENSG00000115268.10",5.72504896823034e-07,0,0.48398178711184,"ENSG00000115268.10","RPS15",501,"protein_coding",0.6128
"ENST00000592623.5","ENSG00000115268.10",5.72504896823034e-07,0,-0.056654735780634,"ENSG00000115268.10","RPS15",873,"protein_coding",0.6621
"ENST00000338639.10","ENSG00000116288.13",0.00127054330275135,0,-0.258772469767194,"ENSG00000116288.13","PARK7",1127,"protein_coding",0.4605
"ENST00000493678.5","ENSG00000116288.13",0.00127054330275135,0,0.31382960382697,"ENSG00000116288.13","PARK7",1088,"protein_coding",0.4504
"ENST00000367450.7","ENSG00000116750.14",0.0119544940900432,1,0.645694688162155,"ENSG00000116750.14","UCHL5",1355,"protein_coding",0.4111
"ENST00000367454.6","ENSG00000116750.14",0.0119544940900432,0.0644670266712372,3.79956177850676,"ENSG00000116750.14","UCHL5",5184,"protein_coding",0.3436
"ENST00000367455.8","ENSG00000116750.14",0.0119544940900432,0.00386492306512783,-0.56485181642601,"ENSG00000116750.14","UCHL5",5327,"protein_coding",0.3518
"ENST00000367925.6","ENSG00000117143.14",0.0208195532356919,0,-0.368754664471071,"ENSG00000117143.14","UAP1",3559,"protein_coding",0.3849
"ENST00000367926.9","ENSG00000117143.14",0.0208195532356919,0,0.416975745744391,"ENSG00000117143.14","UAP1",3508,"protein_coding",0.384
"ENST00000531904.7","ENSG00000118058.25",6.55236227946943e-05,1.6294446617561e-05,5.05343842464993,"ENSG00000118058.25","KMT2A",16699,"protein_coding",0.4687
"ENST00000534358.8","ENSG00000118058.25",6.55236227946943e-05,1.6294446617561e-05,5.05343842464993,"ENSG00000118058.25","KMT2A",16600,"protein_coding",0.4689
"ENST00000686588.1","ENSG00000118058.25",6.55236227946943e-05,1,0.22956268085468,"ENSG00000118058.25","KMT2A",5675,"nonsense_mediated_decay",0.4444
"ENST00000710560.1","ENSG00000118058.25",6.55236227946943e-05,0.708891906547326,-1.40450299522558,"ENSG00000118058.25","KMT2A",16725,"protein_coding",0.4692
"ENST00000261833.11","ENSG00000122966.18",0.00200054253816778,1,0.904274633195308,"ENSG00000122966.18","CIT",8578,"protein_coding",0.5157
"ENST00000392521.7","ENSG00000122966.18",0.00200054253816778,1,-0.926547287601849,"ENSG00000122966.18","CIT",8736,"protein_coding",0.5157
"ENST00000677438.1","ENSG00000122966.18",0.00200054253816778,0.000472624325634968,-6.34678154437189,"ENSG00000122966.18","CIT",8520,"nonsense_mediated_decay",0.5262
"ENST00000273075.9","ENSG00000123992.20",0.00388536527533068,0,-0.00630215012143178,"ENSG00000123992.20","DNPEP",3825,"protein_coding",0.5082
"ENST00000520694.6","ENSG00000123992.20",0.00388536527533068,0,4.00457981444877,"ENSG00000123992.20","DNPEP",2408,"protein_coding",0.5619
"ENST00000339566.7","ENSG00000124356.17",0.0111497045641019,1,-0.12856644892043,"ENSG00000124356.17","STAMBP",6277,"protein_coding",0.4397
"ENST00000394070.7","ENSG00000124356.17",0.0111497045641019,1,1.48690622319783,"ENSG00000124356.17","STAMBP",6746,"protein_coding",0.4512
"ENST00000394073.6","ENSG00000124356.17",0.0111497045641019,0.00353539337259083,-1.69804000462588,"ENSG00000124356.17","STAMBP",6370,"protein_coding",0.4429
"ENST00000245925.8","ENSG00000125746.18",0.0349259022734252,1,-0.933745247801899,"ENSG00000125746.18","EML2",2234,"protein_coding",0.5819
"ENST00000536630.5","ENSG00000125746.18",0.0349259022734252,0.0136822359042213,-6.69641567956602,"ENSG00000125746.18","EML2",2791,"protein_coding",0.6001
"ENST00000587152.6","ENSG00000125746.18",0.0349259022734252,1,-0.105440429989451,"ENSG00000125746.18","EML2",2974,"protein_coding",0.611
"ENST00000247161.7","ENSG00000126767.18",0.00383218367273673,0,-0.707584731723426,"ENSG00000126767.18","ELK1",2695,"protein_coding",0.5699
"ENST00000376983.8","ENSG00000126767.18",0.00383218367273673,0,1.02352980012253,"ENSG00000126767.18","ELK1",2876,"protein_coding",0.5744
"ENST00000249066.10","ENSG00000128335.14",3.62643248763561e-13,0,-7.16245620386089,"ENSG00000128335.14","APOL2",2685,"protein_coding",0.53
"ENST00000358502.10","ENSG00000128335.14",3.62643248763561e-13,0,2.03039691055692,"ENSG00000128335.14","APOL2",2429,"protein_coding",0.5257
"ENST00000357234.10","ENSG00000128604.21",0.000793453810214653,1,-0.744193412247738,"ENSG00000128604.21","IRF5",2899,"protein_coding",0.5785
"ENST00000402030.6","ENSG00000128604.21",0.000793453810214653,1,-1.18842271222546,"ENSG00000128604.21","IRF5",2786,"protein_coding",0.5772
"ENST00000700152.1","ENSG00000128604.21",0.000793453810214653,0.000276243602130061,-8.12528296513098,"ENSG00000128604.21","IRF5",4796,"retained_intron",0.5244
"ENST00000700153.1","ENSG00000128604.21",0.000793453810214653,0.0661187152688668,2.13985379960857,"ENSG00000128604.21","IRF5",4170,"retained_intron",0.5281
"ENST00000331200.8","ENSG00000128951.14",0.000787049446143732,0,-0.644946815415866,"ENSG00000128951.14","DUT",2141,"protein_coding",0.4414
"ENST00000455976.6","ENSG00000128951.14",0.000787049446143732,0,0.248298667270481,"ENSG00000128951.14","DUT",1935,"protein_coding",0.4098
"ENST00000301686.13","ENSG00000130731.16",9.27885284034702e-05,0.00779420253088363,-0.830362189717619,"ENSG00000130731.16","METTL26",797,"protein_coding",0.6562
"ENST00000338401.8","ENSG00000130731.16",9.27885284034702e-05,2.76896383586673e-05,0.389683240446171,"ENSG00000130731.16","METTL26",544,"protein_coding",0.6838
"ENST00000397664.8","ENSG00000130731.16",9.27885284034702e-05,1,-0.281539947916563,"ENSG00000130731.16","METTL26",604,"protein_coding",0.6788
"ENST00000397666.6","ENSG00000130731.16",9.27885284034702e-05,1,-0.694240130555468,"ENSG00000130731.16","METTL26",726,"protein_coding",0.668
"ENST00000340941.11","ENSG00000131844.17",0.0014981101036691,0.00475233509654366,-0.727941417398251,"ENSG00000131844.17","MCCC2",3624,"protein_coding",0.4583
"ENST00000682438.1","ENSG00000131844.17",0.0014981101036691,0.000335297289094642,5.22419372687717,"ENSG00000131844.17","MCCC2",5535,"retained_intron",0.3821
"ENST00000683789.1","ENSG00000131844.17",0.0014981101036691,1,0.0715174030879587,"ENSG00000131844.17","MCCC2",3574,"protein_coding",0.4572
"ENST00000216877.10","ENSG00000132670.21",0.0411673221682693,0,-1.10100820766568,"ENSG00000132670.21","PTPRA",3725,"protein_coding",0.5063
"ENST00000356147.3","ENSG00000132670.21",0.0411673221682693,0,1.12103452430754,"ENSG00000132670.21","PTPRA",3135,"protein_coding",0.4756
"ENST00000322989.8","ENSG00000134419.15",4.46232390506118e-05,0,1.85283870901192,"ENSG00000134419.15","RPS15A",2203,"protein_coding",0.4753
"ENST00000563390.5","ENSG00000134419.15",4.46232390506118e-05,0,-1.43068087109168,"ENSG00000134419.15","RPS15A",525,"protein_coding",0.4838
"ENST00000256897.9","ENSG00000134480.17",7.12898176471096e-05,0,9.73161691317508,"ENSG00000134480.17","CCNH",1280,"protein_coding",0.4227
"ENST00000713562.1","ENSG00000134480.17",7.12898176471096e-05,0,-1.83249265961284,"ENSG00000134480.17","CCNH",1391,"protein_coding",0.4364
"ENST00000257966.13","ENSG00000135506.17",0.00394099254073019,0.897901605327895,0.208192814644448,"ENSG00000135506.17","OS9",2809,"protein_coding",0.5418
"ENST00000315970.12","ENSG00000135506.17",0.00394099254073019,0.00107806968128452,-0.572232835259885,"ENSG00000135506.17","OS9",2682,"protein_coding",0.5459
"ENST00000389142.10","ENSG00000135506.17",0.00394099254073019,1,0.502714550620078,"ENSG00000135506.17","OS9",2763,"protein_coding",0.5414
"ENST00000258439.8","ENSG00000135956.10",5.38362123291774e-05,0,-0.62796912175665,"ENSG00000135956.10","TMEM127",6271,"protein_coding",0.5374
"ENST00000713752.1","ENSG00000135956.10",5.38362123291774e-05,0,8.01774514848063,"ENSG00000135956.10","TMEM127",5942,"protein_coding",0.5271
"ENST00000311487.9","ENSG00000137309.21",5.27314687559686e-05,1,0.405885547801894,"ENSG00000137309.21","HMGA1",1920,"protein_coding",0.6161
"ENST00000347617.10","ENSG00000137309.21",5.27314687559686e-05,1.24576227588241e-05,1.74185701079519,"ENSG00000137309.21","HMGA1",1773,"protein_coding",0.6041
"ENST00000401473.7","ENSG00000137309.21",5.27314687559686e-05,1,0.10392960100739,"ENSG00000137309.21","HMGA1",1887,"protein_coding",0.6153
"ENST00000447654.5","ENSG00000137309.21",5.27314687559686e-05,1,0.794206753713589,"ENSG00000137309.21","HMGA1",2159,"protein_coding",0.6132
"ENST00000355338.6","ENSG00000140105.18",0.042173804382659,0,0.13589541223263,"ENSG00000140105.18","WARS1",3092,"protein_coding",0.5181
"ENST00000392882.7","ENSG00000140105.18",0.042173804382659,0,1.35293589226864,"ENSG00000140105.18","WARS1",2639,"protein_coding",0.4949
"ENST00000321919.14","ENSG00000140632.17",0.005155359023175,0.246728370844945,-0.0297987943437261,"ENSG00000140632.17","GLYR1",3718,"protein_coding",0.5242
"ENST00000436648.9","ENSG00000140632.17",0.005155359023175,0.00147437451830092,1.83782745207041,"ENSG00000140632.17","GLYR1",3466,"protein_coding",0.5245
"ENST00000588732.5","ENSG00000140632.17",0.005155359023175,1,0.242669656620332,"ENSG00000140632.17","GLYR1",3527,"nonsense_mediated_decay",0.5143
"ENST00000271620.8","ENSG00000143363.17",0.0340181321715741,1,0.842181547805524,"ENSG00000143363.17","PRUNE1",3025,"protein_coding",0.4783
"ENST00000368934.1","ENSG00000143363.17",0.0340181321715741,0.841948085380451,2.14303405531646,"ENSG00000143363.17","PRUNE1",2214,"protein_coding",0.4566
"ENST00000368936.5","ENSG00000143363.17",0.0340181321715741,0.0137496974204312,-1.6485197732522,"ENSG00000143363.17","PRUNE1",2788,"protein_coding",0.4792
"ENST00000312726.9","ENSG00000143774.18",0.0337070299524083,0.0138335701713969,-0.600059682224191,"ENSG00000143774.18","GUK1",1100,"nonsense_mediated_decay",0.6255
"ENST00000366728.6","ENSG00000143774.18",0.0337070299524083,0.106656224473732,0.625570858759586,"ENSG00000143774.18","GUK1",842,"protein_coding",0.6342
"ENST00000453943.6","ENSG00000143774.18",0.0337070299524083,1,0.175673273456768,"ENSG00000143774.18","GUK1",935,"protein_coding",0.6332
"ENST00000276602.10","ENSG00000147601.15",0.00233446296227297,0,0.413011453938731,"ENSG00000147601.15","TERF1",3268,"protein_coding",0.3807
"ENST00000276603.10","ENSG00000147601.15",0.00233446296227297,0,-0.697874045127212,"ENSG00000147601.15","TERF1",3329,"protein_coding",0.3815
"ENST00000518127.5","ENSG00000154582.18",0.0487275659705193,0.0209092651722214,1.1433181559182,"ENSG00000154582.18","ELOC",1943,"protein_coding",0.3664
"ENST00000520242.6","ENSG00000154582.18",0.0487275659705193,1,0.49963222922461,"ENSG00000154582.18","ELOC",2015,"protein_coding",0.3821
"ENST00000692141.1","ENSG00000154582.18",0.0487275659705193,1,0.244502554879869,"ENSG00000154582.18","ELOC",5877,"retained_intron",0.3687
"ENST00000286091.9","ENSG00000155660.11",0,0,5.72281226822103,"ENSG00000155660.11","PDIA4",2921,"protein_coding",0.5317
"ENST00000652332.1","ENSG00000155660.11",0,0,-1.16857235889002,"ENSG00000155660.11","PDIA4",2767,"protein_coding",0.519
"ENST00000368300.9","ENSG00000160789.25",0,1,-0.283519980500542,"ENSG00000160789.25","LMNA",3178,"protein_coding",0.6145
"ENST00000675431.1","ENSG00000160789.25",0,2.5651220735962e-27,4.75843524313531,"ENSG00000160789.25","LMNA",1514,"retained_intron",0.6129
"ENST00000677389.1","ENSG00000160789.25",0,3.85446442316374e-07,-1.11039829405063,"ENSG00000160789.25","LMNA",2029,"protein_coding",0.6348
"ENST00000295830.13","ENSG00000163584.18",0.0319412911627807,0,1.40593770463403,"ENSG00000163584.18","RPL22L1",1902,"protein_coding",0.3985
"ENST00000475836.5","ENSG00000163584.18",0.0319412911627807,0,0.251466082347733,"ENSG00000163584.18","RPL22L1",581,"nonsense_mediated_decay",0.3907
"ENST00000360796.10","ENSG00000168000.16",0.00498942093541608,0.132911688235009,0.634760073043054,"ENSG00000168000.16","BSCL2",1710,"protein_coding",0.5556
"ENST00000407022.7","ENSG00000168000.16",0.00498942093541608,1,-0.474364964976966,"ENSG00000168000.16","BSCL2",1516,"protein_coding",0.5805
"ENST00000679883.1","ENSG00000168000.16",0.00498942093541608,0.00139589653074756,-1.61097631792683,"ENSG00000168000.16","BSCL2",2001,"protein_coding",0.5522
"ENST00000227503.13","ENSG00000168066.22",0.00103615832923447,1,0.196999803215663,"ENSG00000168066.22","SF1",2850,"protein_coding",0.5677
"ENST00000377390.8","ENSG00000168066.22",0.00103615832923447,1,-0.707310794232012,"ENSG00000168066.22","SF1",3282,"protein_coding",0.5679
"ENST00000377394.7","ENSG00000168066.22",0.00103615832923447,0.000212580335637832,0.912193304416787,"ENSG00000168066.22","SF1",2854,"protein_coding",0.5673
"ENST00000262879.11","ENSG00000170471.15",0.00566990554726773,0,-0.83176251622979,"ENSG00000170471.15","RALGAPB",8633,"protein_coding",0.4307
"ENST00000397042.7","ENSG00000170471.15",0.00566990554726773,0,1.43103839421346,"ENSG00000170471.15","RALGAPB",8652,"protein_coding",0.4315
"ENST00000462576.5","ENSG00000171863.15",0,0,-0.199530477698941,"ENSG00000171863.15","RPS7",907,"protein_coding",0.5248
"ENST00000645674.2","ENSG00000171863.15",0,0,0.730380493521848,"ENSG00000171863.15","RPS7",732,"protein_coding",0.4822
"ENST00000307839.10","ENSG00000174748.22",0.00721877885474641,0,-0.00455136738162837,"ENSG00000174748.22","RPL15",2155,"protein_coding",0.4172
"ENST00000354811.5","ENSG00000174748.22",0.00721877885474641,0,-0.289059270557309,"ENSG00000174748.22","RPL15",820,"protein_coding",0.5049
"ENST00000323646.9","ENSG00000176485.14",0.0010402879205973,0,0.828860649694752,"ENSG00000176485.14","PLAAT3",2594,"protein_coding",0.4946
"ENST00000415826.3","ENSG00000176485.14",0.0010402879205973,0,-0.354646734027753,"ENSG00000176485.14","PLAAT3",1075,"protein_coding",0.5153
"ENST00000317447.9","ENSG00000176715.17",0.00097875529960031,0.000188633443947194,6.93592665742559,"ENSG00000176715.17","ACSF3",4091,"protein_coding",0.6038
"ENST00000406948.7","ENSG00000176715.17",0.00097875529960031,1,-1.34979395413977,"ENSG00000176715.17","ACSF3",2247,"protein_coding",0.6213
"ENST00000614302.5","ENSG00000176715.17",0.00097875529960031,1,-2.04343110715714,"ENSG00000176715.17","ACSF3",4095,"protein_coding",0.6037
"ENST00000306645.10","ENSG00000178927.19",0.0336951277865873,0,0.110209254053067,"ENSG00000178927.19","CYBC1",2073,"protein_coding",0.6131
"ENST00000536759.2","ENSG00000178927.19",0.0336951277865873,0,4.70962779436703,"ENSG00000178927.19","CYBC1",2222,"retained_intron",0.6287
"ENST00000346246.10","ENSG00000179361.18",3.93934255213604e-06,0,6.14060282241836,"ENSG00000179361.18","ARID3B",4228,"protein_coding",0.5731
"ENST00000622429.1","ENSG00000179361.18",3.93934255213604e-06,0,-1.66012707398845,"ENSG00000179361.18","ARID3B",4243,"protein_coding",0.5741
"ENST00000349157.10","ENSG00000179950.15",0.010237622049442,0.0414647102315021,-0.0681591640867524,"ENSG00000179950.15","PUF60",1821,"protein_coding",0.6129
"ENST00000456095.6","ENSG00000179950.15",0.010237622049442,0.00318251936292499,1.35710755858545,"ENSG00000179950.15","PUF60",1736,"protein_coding",0.6025
"ENST00000526683.6","ENSG00000179950.15",0.010237622049442,1,0.140592942215706,"ENSG00000179950.15","PUF60",1868,"protein_coding",0.6081
"ENST00000342274.8","ENSG00000183337.18",1.96003337042209e-07,2.19339878281733e-08,7.24915320842079,"ENSG00000183337.18","BCOR",6390,"protein_coding",0.5146
"ENST00000378444.9","ENSG00000183337.18",1.96003337042209e-07,1,0.893622304912956,"ENSG00000183337.18","BCOR",6910,"protein_coding",0.5343
"ENST00000378455.8","ENSG00000183337.18",1.96003337042209e-07,1,-0.362216962543658,"ENSG00000183337.18","BCOR",6338,"protein_coding",0.5151
"ENST00000397354.7","ENSG00000183337.18",1.96003337042209e-07,0.610504164619567,-1.27743222530627,"ENSG00000183337.18","BCOR",6258,"protein_coding",0.5144
"ENST00000355387.6","ENSG00000187147.19",5.04854346358441e-05,0.279897757710648,-3.00383581667533,"ENSG00000187147.19","RNF220",3099,"protein_coding",0.5592
"ENST00000361799.7","ENSG00000187147.19",5.04854346358441e-05,0.279897757710648,-3.00383581667533,"ENSG00000187147.19","RNF220",3042,"protein_coding",0.5572
"ENST00000474956.1","ENSG00000187147.19",5.04854346358441e-05,1,0.256751156847973,"ENSG00000187147.19","RNF220",3303,"protein_coding_CDS_not_defined",0.5477
"ENST00000480686.5","ENSG00000187147.19",5.04854346358441e-05,1,1.07733736759319,"ENSG00000187147.19","RNF220",3835,"protein_coding_CDS_not_defined",0.5546
"ENST00000484745.5","ENSG00000187147.19",5.04854346358441e-05,1.50656904408284e-05,8.58034589947708,"ENSG00000187147.19","RNF220",1951,"protein_coding_CDS_not_defined",0.5418
"ENST00000586659.6","ENSG00000197256.11",1.19348273014408e-07,0,-2.33216648347465,"ENSG00000197256.11","KANK2",5183,"protein_coding",0.5794
"ENST00000588787.5","ENSG00000197256.11",1.19348273014408e-07,0,6.06139500399865,"ENSG00000197256.11","KANK2",2952,"protein_coding",0.5251
"ENST00000264718.7","ENSG00000198522.14",0.00282702154971732,1,-0.0628468241788721,"ENSG00000198522.14","GPN1",2496,"protein_coding",0.4379
"ENST00000610189.2","ENSG00000198522.14",0.00282702154971732,1,-0.522266052444747,"ENSG00000198522.14","GPN1",2445,"protein_coding",0.4344
"ENST00000616939.4","ENSG00000198522.14",0.00282702154971732,0.000703032274398377,9.07736245131537,"ENSG00000198522.14","GPN1",1832,"protein_coding",0.4536
"ENST00000361357.7","ENSG00000198909.8",0.000367040323844172,0,-0.256922505710199,"ENSG00000198909.8","MAP3K3",4818,"protein_coding",0.5693
"ENST00000361733.8","ENSG00000198909.8",0.000367040323844172,0,3.7086173279734,"ENSG00000198909.8","MAP3K3",4752,"protein_coding",0.5711
"ENST00000422728.3","ENSG00000237765.8",0.0263565502068202,1,0.841318820768362,"ENSG00000237765.8","FAM200B",4287,"protein_coding",0.3448
"ENST00000504823.5","ENSG00000237765.8",0.0263565502068202,1,-0.603563284813579,"ENSG00000237765.8","FAM200B",635,"protein_coding_CDS_not_defined",0.4079
"ENST00000509022.5","ENSG00000237765.8",0.0263565502068202,0.0190102932666521,-3.72720728124212,"ENSG00000237765.8","FAM200B",521,"protein_coding_CDS_not_defined",0.4453
"ENST00000510920.5","ENSG00000237765.8",0.0263565502068202,1,-0.287815122347911,"ENSG00000237765.8","FAM200B",662,"protein_coding_CDS_not_defined",0.4033
"ENST00000520944.6","ENSG00000245910.9",0.000959198859782432,0,-0.447669976452941,"ENSG00000245910.9","SNHG6",639,"lncRNA",0.4257
"ENST00000521399.7","ENSG00000245910.9",0.000959198859782432,0,0.158089348615862,"ENSG00000245910.9","SNHG6",374,"lncRNA",0.4278
"ENST00000658540.1","ENSG00000255717.9",7.93034307473976e-05,1,-0.818525286932793,"ENSG00000255717.9","SNHG1",1513,"lncRNA",0.4527
"ENST00000686500.2","ENSG00000255717.9",7.93034307473976e-05,1.08466692356486e-05,1.20104673325539,"ENSG00000255717.9","SNHG1",1075,"lncRNA",0.4363
"ENST00000689147.1","ENSG00000255717.9",7.93034307473976e-05,1,1.10822051614208,"ENSG00000255717.9","SNHG1",1162,"lncRNA",0.4415
"ENST00000563192.2","ENSG00000260260.3",0.00871488260367237,0,-0.792689632086071,"ENSG00000260260.3","SNHG19",394,"lncRNA",0.5558
"ENST00000686899.2","ENSG00000260260.3",0.00871488260367237,0,0.570364272451054,"ENSG00000260260.3","SNHG19",564,"lncRNA",0.539
"ENST00000677982.1","ENSG00000288663.1",3.4247117938202e-06,0,7.20733454498734,"ENSG00000288663.1","ENSG00000288663",2360,"retained_intron",0.561
"ENST00000679196.1","ENSG00000288663.1",3.4247117938202e-06,0,-0.61244022115413,"ENSG00000288663.1","ENSG00000288663",5568,"retained_intron",0.5284
